city_name,lat,long,max_temp,cloudiness,humidity,wind_speed,country_code,date_of_measurement
jamestown,42.097,-79.2353,32.0,90,100,8.05,US,1609895068
hargeysa,9.56,44.065,56.23,3,93,12.41,SO,1609894904
laramie,41.3114,-105.5911,25.0,90,85,20.8,US,1609895068
bani walid,31.7566,13.9942,50.04,65,42,5.82,LY,1609895068
punta arenas,-53.15,-70.9167,55.4,99,58,6.93,CL,1609894986
atuona,-9.8,-139.0333,77.5,100,79,15.88,PF,1609895068
la ronge,55.1001,-105.2842,17.6,100,92,8.05,CA,1609894573
ahipara,-35.1667,173.1667,73.78,100,57,6.78,NZ,1609894491
areia branca,-4.9561,-37.1369,80.15,0,68,20.8,BR,1609894871
puerto ayora,-0.7393,-90.3518,73.99,99,92,5.99,EC,1609895069
hilo,19.7297,-155.09,80.6,20,61,9.17,US,1609894865
mount gambier,-37.8333,140.7667,62.6,90,59,16.11,AU,1609894229
waterloo,43.4668,-80.5164,32.0,90,97,5.82,CA,1609894850
busselton,-33.65,115.3333,73.0,37,52,4.0,AU,1609895069
cabo san lucas,22.8909,-109.9124,71.6,75,49,6.93,MX,1609894939
hualmay,-11.0964,-77.6139,69.8,100,83,7.61,PE,1609894492
qaanaaq,77.484,-69.3632,-0.33,100,75,8.32,GL,1609895069
la palma,33.8464,-118.0467,61.0,1,67,3.36,US,1609895069
niamey,13.5137,2.1098,77.0,0,22,3.36,NE,1609894609
turukhansk,65.8167,87.9833,-14.69,100,89,9.26,RU,1609894492
buchanan,5.8808,-10.0467,75.2,40,94,7.49,LR,1609894478
ormara,25.2088,64.6357,61.21,0,32,14.47,PK,1609895069
sao mateus,-18.7161,-39.8589,74.75,90,83,6.11,BR,1609894836
ponta do sol,32.6667,-17.1,64.4,40,82,8.05,PT,1609894485
carnarvon,-24.8667,113.6333,84.2,68,54,17.22,AU,1609895070
kapaa,22.0752,-159.319,78.8,75,65,13.87,US,1609895070
longyearbyen,78.2186,15.6401,19.4,75,79,9.17,SJ,1609895070
anda,46.4,125.3167,-4.88,100,91,4.54,CN,1609895070
ushuaia,-54.8,-68.3,57.2,75,58,3.36,AR,1609895070
lebu,-37.6167,-73.65,56.88,0,80,18.99,CL,1609895070
dingle,10.9995,122.6711,80.64,52,81,14.81,PH,1609894573
maceio,-9.6658,-35.7353,71.6,0,94,3.36,BR,1609895070
haapiti,-17.5667,-149.8667,86.0,40,62,8.05,PF,1609895070
huntingdon,52.3305,-0.1865,37.99,96,89,4.0,GB,1609894809
canico,32.6333,-16.85,64.4,40,82,8.05,PT,1609895070
veraval,20.9,70.3667,61.72,0,52,14.61,IN,1609894585
gunnedah,-30.9833,150.25,77.0,83,69,3.36,AU,1609895070
bambous virieux,-20.3428,57.7575,75.2,40,88,10.29,MU,1609895070
dhidhdhoo,6.8833,73.1,81.93,100,79,18.95,MV,1609895070
katsuura,35.1333,140.3,45.0,100,69,5.01,JP,1609894484
hithadhoo,-0.6,73.0833,82.6,52,76,15.08,MV,1609895071
norman wells,65.282,-126.8329,-23.8,20,74,1.77,CA,1609895071
hermanus,-34.4187,19.2345,63.0,68,93,2.57,ZA,1609895071
arraial do cabo,-22.9661,-42.0278,75.81,66,91,16.78,BR,1609894811
rikitea,-23.1203,-134.9692,77.41,67,73,12.39,PF,1609895071
kuching,1.55,110.3333,78.8,20,94,2.24,MY,1609894593
baykit,61.67,96.37,-6.79,100,86,6.82,RU,1609895071
nuevitas,21.5453,-77.2644,73.4,20,69,6.93,CU,1609895071
cape town,-33.9258,18.4232,68.0,20,82,17.22,ZA,1609894916
khatanga,71.9667,102.5,-0.9,100,91,23.49,RU,1609895071
bluff,-46.6,168.3333,61.81,39,72,8.55,NZ,1609895071
mataura,-46.1927,168.8643,77.58,10,46,2.82,NZ,1609895071
fergus,47.3,-109.2674,37.4,0,40,5.82,US,1609894800
vaini,-21.2,-175.2,80.6,75,94,9.17,TO,1609895072
labuhan,-6.8844,112.2051,79.3,95,83,5.61,ID,1609894473
churapcha,62.0025,132.4325,-42.0,100,79,0.58,RU,1609895072
hami,42.8,93.45,8.76,12,60,4.65,CN,1609895072
puerto escondido,15.85,-97.0667,75.2,20,73,2.51,MX,1609895053
amos,48.5669,-78.1162,28.4,90,100,1.54,CA,1609895072
daru,-9.0763,143.2092,83.93,100,73,7.63,PG,1609894605
romitan,39.9343,64.3814,21.2,90,79,6.93,UZ,1609895072
hukuntsi,-24.0,21.75,74.53,75,65,6.49,BW,1609895072
chanika,-5.4167,38.0167,68.02,39,96,1.68,TZ,1609895072
chernyshevskiy,63.0128,112.4714,-19.08,100,88,8.81,RU,1609895072
esperance,-33.8667,121.9,64.4,75,52,11.41,AU,1609895072
raudeberg,61.9875,5.1352,34.0,0,80,7.78,NO,1609894487
tasiilaq,65.6145,-37.6368,21.2,85,41,3.36,GL,1609895072
juneau,58.3019,-134.4197,39.2,90,80,21.92,US,1609894343
adrar,20.5022,-10.0711,66.42,100,40,0.56,MR,1609895073
mareeba,-17.0,145.4333,88.0,93,95,5.01,AU,1609894821
vardo,70.3705,31.1107,27.68,89,96,23.2,NO,1609895073
georgetown,5.4112,100.3354,75.99,40,94,4.7,MY,1609894816
touros,-5.1989,-35.4608,78.8,20,78,6.93,BR,1609894496
margate,51.3813,1.3862,43.0,100,80,1.99,GB,1609894592
port alfred,-33.5906,26.891,66.0,79,92,9.6,ZA,1609895073
olafsvik,64.8945,-23.7142,36.21,0,78,20.65,IS,1609894606
tessalit,20.1986,1.0114,64.89,0,23,8.05,ML,1609894494
college,64.8569,-147.8028,-4.0,20,83,2.73,US,1609895073
san policarpo,12.1791,125.5072,82.74,96,78,12.59,PH,1609895073
maldonado,-34.6667,-54.9167,73.0,75,88,12.75,UY,1609894886
nome,64.5011,-165.4064,5.0,90,77,4.7,US,1609895073
burnie,-41.0667,145.9167,66.81,0,58,6.35,AU,1609895073
upernavik,72.7868,-56.1549,3.25,100,92,8.55,GL,1609895073
barstow,34.8986,-117.0228,66.2,1,20,2.89,US,1609895073
mozarlandia,-14.7447,-50.5706,78.28,0,61,2.17,BR,1609894492
baruun-urt,46.6806,113.2792,-36.09,0,74,8.68,MN,1609894944
hobyo,5.3505,48.5268,74.01,73,72,19.46,SO,1609895073
katobu,-4.9408,122.5276,82.78,100,76,8.75,ID,1609895074
ilulissat,69.2167,-51.1,12.2,100,66,12.75,GL,1609895074
awash,8.9833,40.1667,63.93,0,68,0.74,ET,1609895074
honiara,-9.4333,159.95,89.6,20,70,13.87,SB,1609894427
moose jaw,50.4001,-105.5344,26.6,2,79,11.41,CA,1609894812
mar del plata,-38.0023,-57.5575,68.0,90,88,11.41,AR,1609895074
tottori,35.5,134.2333,41.0,75,48,11.41,JP,1609894859
dikson,73.5069,80.5464,19.71,100,97,27.56,RU,1609895074
longyan,25.1072,117.0225,53.2,33,63,2.39,CN,1609895074
butaritari,3.0707,172.7902,81.93,0,75,19.86,KI,1609895074
castro,-24.7911,-50.0119,65.19,100,96,4.5,BR,1609895074
bandarbeyla,9.4942,50.8122,72.39,0,71,17.78,SO,1609895074
albany,42.6001,-73.9662,33.01,95,80,3.98,US,1609895074
socorro,31.6546,-106.3033,62.6,75,15,9.17,US,1609895074
murray bridge,-35.1167,139.2667,64.0,26,64,16.11,AU,1609895074
port elizabeth,-33.918,25.5701,62.6,0,93,3.36,ZA,1609895074
mitsamiouli,-11.3847,43.2844,82.04,34,73,11.59,KM,1609895074
saint-philippe,-21.3585,55.7679,77.0,75,73,5.82,RE,1609895075
kirksville,40.1948,-92.5833,35.6,1,74,4.7,US,1609895075
halifax,44.6453,-63.5724,34.0,100,80,12.75,CA,1609894951
makakilo city,21.3469,-158.0858,82.4,75,54,9.17,US,1609894589
agucadoura,41.4318,-8.7804,37.99,0,93,5.82,PT,1609894614
nanortalik,60.1432,-45.2371,26.2,20,89,6.38,GL,1609895075
iranshahr,27.2025,60.6848,41.0,0,21,0.58,IR,1609895075
barrow,71.2906,-156.7887,-16.6,40,75,9.17,US,1609895075
vestmanna,62.1564,-7.1664,44.6,100,100,14.99,FO,1609895075
beloha,-25.1667,45.05,72.57,16,90,1.9,MG,1609895075
tete,-16.1564,33.5867,77.0,40,94,4.7,MZ,1609895075
tuktoyaktuk,69.4541,-133.0374,-16.6,40,75,3.36,CA,1609895075
portland,45.5234,-122.6762,48.99,90,66,14.99,US,1609894855
tulle,45.3333,1.8333,30.99,100,93,0.18,FR,1609895075
nouadhibou,20.931,-17.0347,68.0,100,88,6.93,MR,1609895075
chicama,-7.8447,-79.1469,68.0,100,88,6.93,PE,1609894590
coos bay,43.3665,-124.2179,55.99,1,50,9.17,US,1609895076
guanare,9.0418,-69.7421,73.69,100,61,2.89,VE,1609895076
comodoro rivadavia,-45.8667,-67.5,68.0,0,56,19.46,AR,1609894368
markova,48.6758,24.4138,34.14,42,89,3.42,UA,1609895076
harper,4.375,-7.7169,79.05,100,84,8.57,LR,1609895076
